_id,Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
233,2020-06-16,Western,Elgin-Middlesex Det. Centre,1,0,0
234,2020-06-17,Northern,Monteith Correctional Centre,0,1,0
235,2020-06-17,Central,Maplehurst Correctional Complex,1,4,3
236,2020-06-17,Central,Ontario Correctional Institute,0,89,2
237,2020-06-17,Toronto,Toronto South Detention Centre,0,8,5
238,2020-06-17,Central,Milton-Vanier Centre For Women,0,1,3
239,2020-06-17,Central,Hamilton Wentworth Det Centre,0,1,0
240,2020-06-17,Eastern,Central East Correctional Centre,0,1,1
241,2020-06-17,Central,Niagara Detention Centre,0,0,1
242,2020-06-17,Western,Central North Correctional Centre,0,1,0
243,2020-06-17,Northern,Kenora Jail,0,2,0
244,2020-06-17,Western,Elgin-Middlesex Det. Centre,1,0,0
245,2020-06-18,Northern,Monteith Correctional Centre,0,1,0
246,2020-06-18,Central,Maplehurst Correctional Complex,1,4,3
247,2020-06-18,Central,Ontario Correctional Institute,0,89,2
248,2020-06-18,Toronto,Toronto South Detention Centre,0,8,5
249,2020-06-18,Central,Milton-Vanier Centre For Women,0,1,3
250,2020-06-18,Central,Hamilton Wentworth Det Centre,0,1,0
251,2020-06-18,Eastern,Central East Correctional Centre,0,1,1
252,2020-06-18,Central,Niagara Detention Centre,0,0,1
253,2020-06-18,Western,Central North Correctional Centre,0,1,0
254,2020-06-18,Northern,Kenora Jail,0,2,0
255,2020-06-18,Western,Elgin-Middlesex Det. Centre,1,0,0
256,2020-06-21,Northern,Monteith Correctional Centre,0,1,0
257,2020-06-21,Central,Maplehurst Correctional Complex,1,4,3
258,2020-06-21,Central,Ontario Correctional Institute,0,89,2
259,2020-06-21,Toronto,Toronto South Detention Centre,0,8,5
260,2020-06-21,Central,Milton-Vanier Centre For Women,0,1,3
261,2020-06-21,Central,Hamilton Wentworth Det Centre,0,1,0
262,2020-06-21,Eastern,Central East Correctional Centre,0,1,1
263,2020-06-21,Central,Niagara Detention Centre,0,0,1
264,2020-06-21,Western,Central North Correctional Centre,0,1,0
265,2020-06-21,Northern,Kenora Jail,0,2,0
266,2020-06-21,Western,Elgin-Middlesex Det. Centre,1,0,0
267,2020-06-22,Northern,Monteith Correctional Centre,0,1,0
268,2020-06-22,Central,Maplehurst Correctional Complex,0,5,3
269,2020-06-22,Central,Ontario Correctional Institute,0,89,2
270,2020-06-22,Toronto,Toronto South Detention Centre,1,8,5
271,2020-06-22,Central,Milton-Vanier Centre For Women,0,1,3
272,2020-06-22,Central,Hamilton Wentworth Det Centre,0,1,0
273,2020-06-22,Eastern,Central East Correctional Centre,0,1,1
274,2020-06-22,Central,Niagara Detention Centre,0,0,1
275,2020-06-22,Western,Central North Correctional Centre,0,1,0
276,2020-06-22,Northern,Kenora Jail,0,2,0
277,2020-06-22,Western,Elgin-Middlesex Det. Centre,1,0,0
278,2020-06-23,Northern,Monteith Correctional Centre,0,1,0
279,2020-06-23,Central,Maplehurst Correctional Complex,0,5,3
280,2020-06-23,Central,Ontario Correctional Institute,0,89,2
281,2020-06-23,Toronto,Toronto South Detention Centre,1,8,5
282,2020-06-23,Central,Milton-Vanier Centre For Women,0,1,3
283,2020-06-23,Central,Hamilton Wentworth Det Centre,0,1,0
284,2020-06-23,Eastern,Central East Correctional Centre,0,1,1
285,2020-06-23,Central,Niagara Detention Centre,0,0,1
286,2020-06-23,Western,Central North Correctional Centre,0,1,0
287,2020-06-23,Northern,Kenora Jail,0,2,0
288,2020-06-23,Western,Elgin-Middlesex Det. Centre,0,1,0
289,2020-06-24,Northern,Monteith Correctional Centre,0,1,0
290,2020-06-24,Central,Maplehurst Correctional Complex,0,5,3
291,2020-06-24,Central,Ontario Correctional Institute,0,89,2
292,2020-06-24,Toronto,Toronto South Detention Centre,1,8,5
293,2020-06-24,Central,Milton-Vanier Centre For Women,0,1,3
294,2020-06-24,Central,Hamilton Wentworth Det Centre,0,1,0
295,2020-06-24,Eastern,Central East Correctional Centre,0,1,1
296,2020-06-24,Central,Niagara Detention Centre,0,0,1
297,2020-06-24,Western,Central North Correctional Centre,0,1,0
298,2020-06-24,Northern,Kenora Jail,0,2,0
299,2020-06-24,Western,Elgin-Middlesex Det. Centre,0,1,0
300,2020-06-25,Northern,Monteith Correctional Centre,0,1,0
301,2020-06-25,Central,Maplehurst Correctional Complex,0,5,3
302,2020-06-25,Central,Ontario Correctional Institute,0,89,2
303,2020-06-25,Toronto,Toronto South Detention Centre,1,8,5
304,2020-06-25,Central,Milton-Vanier Centre For Women,0,1,3
305,2020-06-25,Central,Hamilton Wentworth Det Centre,0,1,0
306,2020-06-25,Eastern,Central East Correctional Centre,0,1,1
307,2020-06-25,Central,Niagara Detention Centre,0,0,1
308,2020-06-25,Western,Central North Correctional Centre,0,1,0
309,2020-06-25,Northern,Kenora Jail,0,2,0
310,2020-06-25,Western,Elgin-Middlesex Det. Centre,0,1,0
311,2020-06-28,Northern,Monteith Correctional Centre,0,1,0
312,2020-06-28,Central,Maplehurst Correctional Complex,0,5,3
313,2020-06-28,Central,Ontario Correctional Institute,0,89,2
314,2020-06-28,Toronto,Toronto South Detention Centre,2,8,5
315,2020-06-28,Central,Milton-Vanier Centre For Women,0,1,3
316,2020-06-28,Central,Hamilton Wentworth Det Centre,0,1,0
317,2020-06-28,Eastern,Central East Correctional Centre,0,1,1
318,2020-06-28,Central,Niagara Detention Centre,0,0,1
319,2020-06-28,Western,Central North Correctional Centre,0,1,0
320,2020-06-28,Northern,Kenora Jail,0,2,0
321,2020-06-28,Western,Elgin-Middlesex Det. Centre,0,1,0
322,2020-06-29,Northern,Monteith Correctional Centre,0,1,0
323,2020-06-29,Central,Maplehurst Correctional Complex,0,5,3
324,2020-06-29,Central,Ontario Correctional Institute,0,89,2
325,2020-06-29,Toronto,Toronto South Detention Centre,1,8,6
326,2020-06-29,Central,Milton-Vanier Centre For Women,0,1,3
327,2020-06-29,Central,Hamilton Wentworth Det Centre,0,1,0
328,2020-06-29,Eastern,Central East Correctional Centre,0,1,1
329,2020-06-29,Central,Niagara Detention Centre,0,0,1
330,2020-06-29,Western,Central North Correctional Centre,0,1,0
331,2020-06-29,Northern,Kenora Jail,0,2,0
332,2020-06-29,Western,Elgin-Middlesex Det. Centre,0,1,0
333,2020-07-01,Northern,Monteith Correctional Centre,0,1,0
334,2020-07-01,Central,Maplehurst Correctional Complex,0,5,3
335,2020-07-01,Central,Ontario Correctional Institute,0,89,2
336,2020-07-01,Toronto,Toronto South Detention Centre,2,8,6
337,2020-07-01,Central,Milton-Vanier Centre For Women,0,1,3
338,2020-07-01,Central,Hamilton Wentworth Det Centre,0,1,0
339,2020-07-01,Eastern,Central East Correctional Centre,0,1,1
340,2020-07-01,Central,Niagara Detention Centre,0,0,1
341,2020-07-01,Western,Central North Correctional Centre,0,1,0
342,2020-07-01,Northern,Kenora Jail,0,2,0
343,2020-07-01,Western,Elgin-Middlesex Det. Centre,0,1,0
344,2020-07-02,Northern,Monteith Correctional Centre,0,1,0
345,2020-07-02,Central,Maplehurst Correctional Complex,0,5,3
346,2020-07-02,Central,Ontario Correctional Institute,0,89,2
347,2020-07-02,Toronto,Toronto South Detention Centre,2,8,6
348,2020-07-02,Central,Milton-Vanier Centre For Women,0,1,3
349,2020-07-02,Central,Hamilton Wentworth Det Centre,0,1,0
350,2020-07-02,Eastern,Central East Correctional Centre,0,1,1
351,2020-07-02,Central,Niagara Detention Centre,0,0,1
352,2020-07-02,Western,Central North Correctional Centre,0,1,0
353,2020-07-02,Northern,Kenora Jail,0,2,0
354,2020-07-02,Western,Elgin-Middlesex Det. Centre,0,1,0
355,2020-07-05,Northern,Monteith Correctional Centre,0,1,0
356,2020-07-05,Central,Maplehurst Correctional Complex,1,5,3
357,2020-07-05,Central,Ontario Correctional Institute,0,89,2
358,2020-07-05,Toronto,Toronto South Detention Centre,3,8,6
359,2020-07-05,Central,Milton-Vanier Centre For Women,0,1,3
360,2020-07-05,Central,Hamilton Wentworth Det Centre,0,1,0
361,2020-07-05,Eastern,Central East Correctional Centre,0,1,1
362,2020-07-05,Central,Niagara Detention Centre,0,0,1
363,2020-07-05,Western,Central North Correctional Centre,0,1,0
364,2020-07-05,Northern,Kenora Jail,0,2,0
365,2020-07-05,Western,Elgin-Middlesex Det. Centre,0,1,0
366,2020-07-06,Northern,Monteith Correctional Centre,0,1,0
367,2020-07-06,Central,Maplehurst Correctional Complex,1,5,3
368,2020-07-06,Central,Ontario Correctional Institute,0,89,2
369,2020-07-06,Toronto,Toronto South Detention Centre,3,8,6
370,2020-07-06,Central,Milton-Vanier Centre For Women,0,1,3
371,2020-07-06,Central,Hamilton Wentworth Det Centre,0,1,0
372,2020-07-06,Eastern,Central East Correctional Centre,0,1,1
373,2020-07-06,Central,Niagara Detention Centre,0,0,1
374,2020-07-06,Western,Central North Correctional Centre,0,1,0
375,2020-07-06,Northern,Kenora Jail,0,2,0
376,2020-07-06,Western,Elgin-Middlesex Det. Centre,0,1,0
377,2020-07-07,Northern,Monteith Correctional Centre,0,1,0
378,2020-07-07,Central,Maplehurst Correctional Complex,1,5,3
379,2020-07-07,Central,Ontario Correctional Institute,0,89,2
380,2020-07-07,Toronto,Toronto South Detention Centre,2,8,7
381,2020-07-07,Central,Milton-Vanier Centre For Women,0,1,3
382,2020-07-07,Central,Hamilton Wentworth Det Centre,0,1,0
383,2020-07-07,Eastern,Central East Correctional Centre,0,1,1
384,2020-07-07,Central,Niagara Detention Centre,0,0,1
385,2020-07-07,Western,Central North Correctional Centre,0,1,0
386,2020-07-07,Northern,Kenora Jail,0,2,0
387,2020-07-07,Western,Elgin-Middlesex Det. Centre,0,1,0
388,2020-07-08,Northern,Monteith Correctional Centre,0,1,0
389,2020-07-08,Central,Maplehurst Correctional Complex,1,5,3
390,2020-07-08,Central,Ontario Correctional Institute,0,89,2
391,2020-07-08,Toronto,Toronto South Detention Centre,2,8,7
392,2020-07-08,Central,Milton-Vanier Centre For Women,0,1,3
393,2020-07-08,Central,Hamilton Wentworth Det Centre,0,1,0
394,2020-07-08,Eastern,Central East Correctional Centre,0,1,1
395,2020-07-08,Central,Niagara Detention Centre,0,0,1
396,2020-07-08,Western,Central North Correctional Centre,0,1,0
397,2020-07-08,Northern,Kenora Jail,0,2,0
398,2020-07-08,Western,Elgin-Middlesex Det. Centre,0,1,0
399,2020-07-09,Northern,Monteith Correctional Centre,0,1,0
400,2020-07-09,Central,Maplehurst Correctional Complex,1,5,3
401,2020-07-09,Central,Ontario Correctional Institute,0,89,2
402,2020-07-09,Toronto,Toronto South Detention Centre,3,8,7
403,2020-07-09,Central,Milton-Vanier Centre For Women,0,1,3
404,2020-07-09,Central,Hamilton Wentworth Det Centre,0,1,0
405,2020-07-09,Eastern,Central East Correctional Centre,0,1,1
406,2020-07-09,Central,Niagara Detention Centre,0,0,1
407,2020-07-09,Western,Central North Correctional Centre,0,1,0
408,2020-07-09,Northern,Kenora Jail,0,2,0
409,2020-07-09,Western,Elgin-Middlesex Det. Centre,0,1,0
410,2020-07-12,Northern,Monteith Correctional Centre,0,1,0
411,2020-07-12,Central,Maplehurst Correctional Complex,1,5,3
412,2020-07-12,Central,Ontario Correctional Institute,0,89,2
413,2020-07-12,Toronto,Toronto South Detention Centre,2,9,7
414,2020-07-12,Central,Milton-Vanier Centre For Women,0,1,3
415,2020-07-12,Central,Hamilton Wentworth Det Centre,0,1,0
416,2020-07-12,Eastern,Central East Correctional Centre,0,1,1
417,2020-07-12,Central,Niagara Detention Centre,0,0,1
418,2020-07-12,Western,Central North Correctional Centre,0,1,0
419,2020-07-12,Northern,Kenora Jail,0,2,0
420,2020-07-12,Western,Elgin-Middlesex Det. Centre,0,1,0
421,2020-07-13,Northern,Monteith Correctional Centre,0,1,0
422,2020-07-13,Central,Maplehurst Correctional Complex,1,5,3
423,2020-07-13,Central,Ontario Correctional Institute,0,89,2
